State,  Time, Number_of _Trial
0 0  1 -0	0	0
0.000242054   0.0241573     0.9998 -0.0199987	0.02	11
0.00104511  0.0561627     0.9992 -0.0399893	0.04	10
0.00248855   0.088168  0.998201 -0.059964	0.06	10
0.00457174   0.120173   0.996802 -0.0799147	0.08	10
0.00729519   0.152179   0.995004 -0.0998334	0.1	10
0.0106586  0.184184  0.992809 -0.119712	0.12	10
0.014662 0.216189  0.990216 -0.139543	0.14	10
0.0193843  0.256042  0.987227 -0.159318	0.16	9
0.0248247  0.288047 0.983844 -0.17903	0.18	10
0.0309056  0.320053  0.980067 -0.198669	0.2	10
0.0376264  0.352058 0.975897 -0.21823	0.22	10
0.044988 0.384063  0.971338 -0.237703	0.24	10
0.0529889  0.416068   0.96639 -0.257081	0.26	10
0.0616305  0.448073  0.961055 -0.276356	0.28	10
0.0709115  0.480079 0.955337 -0.29552	0.3	10
0.0808334  0.512084  0.949235 -0.314567	0.32	10
0.0913956   0.54409  0.942755 -0.333487	0.34	10
0.102598 0.576095  0.935897 -0.352274	0.36	10
0.114519 0.615948  0.928665 -0.370921	0.38	9
0.127158 0.647954  0.921061 -0.389418	0.4	10
0.140516 0.687806  0.913089 -0.407761	0.42	9
0.154592 0.719811 0.904752 -0.42594	0.44	10
0.169387 0.759665  0.896052 -0.443948	0.46	9
 0.1849 0.79167  0.886995 -0.461779	0.48	10
0.201131 0.831523  0.877582 -0.479426	0.5	9
0.218082 0.863529 0.867819 -0.49688	0.52	10
0.235516 0.879838  0.857709 -0.514136	0.54	8
0.253432 0.911844  0.847255 -0.531186	0.56	10
0.272068 0.951697  0.836463 -0.548024	0.58	9
  0.2915 0.991551  0.825336 -0.564642	0.6	9
0.311179 0.976468  0.813878 -0.581035	0.62	9
 0.33048 0.953538  0.802096 -0.597195	0.64	10
0.349399 0.938455  0.789992 -0.613117	0.66	9
0.368086 0.930156  0.777573 -0.628793	0.68	9
0.386606 0.921856  0.764842 -0.644218	0.7	9
 0.40496 0.913557  0.751806 -0.659385	0.72	9
0.42307 0.89741  0.738469 -0.674288	0.74	10
0.440935 0.889111  0.724836 -0.688921	0.76	9
0.458635 0.880812  0.710914 -0.703279	0.78	9
0.476168 0.872512  0.696707 -0.717356	0.8	9
0.493378 0.848517  0.682221 -0.731146	0.82	9
0.510187  0.83237  0.667463 -0.744643	0.84	10
0.526595 0.808375  0.652438 -0.757842	0.86	9
0.542522 0.784379  0.637151 -0.770739	0.88	9
 0.55797 0.760384   0.62161 -0.783327	0.9	9
0.572938  0.73639   0.60582 -0.795601	0.92	9
0.587348 0.704546  0.589788 -0.807558	0.94	9
0.601356 0.696247   0.57352 -0.819191	0.96	8
0.615041 0.672252  0.557023 -0.830497	0.98	10
0.628168 0.640408  0.540303 -0.841471	1	9
0.640657 0.608565  0.523366 -0.852108	1.02	9
0.652589  0.58457  0.506221 -0.862404	1.04	10
0.663961 0.552727  0.488872 -0.872355	1.06	9
0.674698 0.520883  0.471329 -0.881958	1.08	9
0.685033 0.512584  0.453597 -0.891207	1.1	8
0.695044 0.488589 0.435683  -0.9001	1.12	10
0.704497 0.456746  0.417595 -0.908633	1.14	9
0.713313 0.424902   0.39934 -0.916803	1.16	9
0.721492 0.393059  0.380925 -0.924606	1.18	9
0.729035 0.361216  0.362358 -0.932039	1.2	9
0.735941 0.329373  0.343646 -0.939099	1.22	9
0.74221 0.29753  0.324797 -0.945784	1.24	9
0.747842 0.265687 0.305817 -0.95209	1.26	9
0.752838 0.233843  0.286716 -0.958016	1.28	9
0.757274 0.209848  0.267499 -0.963558	1.3	10
0.761153 0.178005  0.248176 -0.968715	1.32	9
0.764395 0.146162  0.228753 -0.973484	1.34	9
0.766999 0.114319  0.209239 -0.977864	1.36	9
 0.768968 0.0824757  0.189642 -0.981853	1.38	9
 0.770299 0.0506324 0.169968 -0.98545	1.4	9
 0.770993 0.0187894  0.150226 -0.988652	1.42	9
  0.771051 -0.0130543  0.130424 -0.991458	1.44	9
  0.770471 -0.0448973  0.110571 -0.993868	1.46	9
  0.769489 -0.0531968 0.0906724 -0.995881	1.48	8
  0.768107 -0.0850399  0.070738 -0.997495	1.5	9
 0.766087 -0.116883 0.0507753  -0.99871	1.52	9
 0.763431 -0.148727 0.0307923 -0.999526	1.54	9
0.760138 -0.18057  0.010797 -0.999942	1.56	9
 0.756208 -0.212413 -0.00920263   -0.999958	1.58	9
 0.751641 -0.244256 -0.0291986  -0.999574	1.6	9
 0.746438 -0.276099 -0.0491829   -0.99879	1.62	9
 0.740598 -0.307942 -0.0691475  -0.997606	1.64	9
 0.734121 -0.339786 -0.0890844  -0.996024	1.66	9
 0.727024 -0.369824 -0.108986 -0.994043	1.68	9
 0.719328 -0.399863 -0.128843 -0.991665	1.7	9
  0.71103 -0.429902 -0.14865 -0.98889	1.72	9
0.702132 -0.45994 -0.168396 -0.985719	1.74	9
 0.692632 -0.489979 -0.188076 -0.982155	1.76	9
 0.682532 -0.520017  -0.20768 -0.978197	1.78	9
 0.671831 -0.550056 -0.227201 -0.973848	1.8	9
0.660765 -0.55655 -0.246631 -0.969109	1.82	8
 0.649333 -0.586589 -0.265963 -0.963983	1.84	9
 0.637301 -0.616628 -0.285188 -0.958472	1.86	9
 0.624904 -0.623123 -0.304299 -0.952577	1.88	8
 0.612142 -0.653162 -0.323288 -0.946301	1.9	9
0.598778  -0.6832 -0.342148 -0.939646	1.92	9
 0.584814 -0.713238 -0.360872 -0.932615	1.94	9
 0.570484 -0.719733 -0.379451 -0.925212	1.96	8
 0.555789 -0.749771 -0.397878 -0.917438	1.98	9
 0.540572 -0.771962 -0.416146 -0.909298	2	10
 0.524833 -0.802001 -0.434247 -0.900794	2.02	9
 0.508492 -0.832039 -0.452175 -0.891929	2.04	9
 0.491551 -0.862078 -0.469922 -0.882708	2.06	9
 0.474009 -0.892117 -0.487481 -0.873134	2.08	9
 0.455945 -0.914307 -0.504845  -0.86321	2.1	10
 0.437594 -0.920801 -0.522007 -0.852941	2.12	8
 0.418956 -0.942992  -0.53896 -0.842331	2.14	10
 0.399796 -0.973031 -0.555698 -0.831384	2.16	9
0.380035 -1.00307 -0.572213 -0.820105	2.18	9
0.359673 -1.03311   -0.5885 -0.808497	2.2	9
0.338946  -1.0396 -0.604551 -0.796566	2.22	8
0.317854 -1.06964  -0.62036 -0.784317	2.24	9
0.296238 -1.09183 -0.635922 -0.771754	2.26	10
0.274101 -1.12187 -0.651229 -0.758882	2.28	9
0.251599 -1.12837 -0.666275 -0.745706	2.3	8
0.228731 -1.15841 -0.681055 -0.732232	2.32	9
0.205263 -1.18844 -0.695562 -0.718466	2.34	9
0.181271 -1.21063 -0.709791 -0.704412	2.36	10
0.156758 -1.24067 -0.723737 -0.690076	2.38	9
0.131644 -1.27071 -0.737393 -0.675464	2.4	9
0.106165 -1.27721 -0.750754 -0.660582	2.42	8
0.0805569   -1.2837 -0.763814 -0.645436	2.44	8
0.0546607  -1.30589 -0.776569 -0.630032	2.46	10
0.0282422  -1.33593 -0.789014 -0.614376	2.48	9
0.00122339   -1.36597 -0.801143 -0.598473	2.5	9
-0.026396  -1.39601 -0.812951 -0.582332	2.52	9
-0.0546163   -1.42605 -0.824434 -0.565958	2.54	9
-0.0834378   -1.45609 -0.835588 -0.549357	2.56	9
-0.112781  -1.47828 -0.846407 -0.532536	2.58	10
-0.142647  -1.50832 -0.856888 -0.515503	2.6	9
-0.173114  -1.53835 -0.867026 -0.498263	2.62	9
-0.204181  -1.56839 -0.876817 -0.480824	2.64	9
-0.235771  -1.59058 -0.886258 -0.463193	2.66	10
-0.268021  -1.63447 -0.895343 -0.445376	2.68	9
-0.301149  -1.67836 -0.904071 -0.427382	2.7	9
-0.335077   -1.7144 -0.912438 -0.409216	2.72	10
-0.369725  -1.75044 -0.920439 -0.390887	2.74	10
-0.405016  -1.77863 -0.928072 -0.372401	2.76	11
-0.440871  -1.80683 -0.935334 -0.353766	2.78	9
-0.476819  -1.78793 -0.942222  -0.33499	2.8	10
-0.512467  -1.77688 -0.948733  -0.31608	2.82	9
-0.547815  -1.75799 -0.954864 -0.297043	2.84	10
-0.582786  -1.73909 -0.960614 -0.277888	2.86	10
-0.617222   -1.7045 -0.965979 -0.258621	2.88	8
-0.651123   -1.6856 -0.970958 -0.239251	2.9	10
-0.684489  -1.65101 -0.975548 -0.219786	2.92	8
-0.717321  -1.63211 -0.979748 -0.200232	2.94	10
-0.749852  -1.62107 -0.983557 -0.180598	2.96	9
-0.782084  -1.60217 -0.986972 -0.160892	2.98	10
-0.813938  -1.58327 -0.989992 -0.141122	3	10
-0.845414  -1.56438 -0.992616 -0.121295	3.02	10
-0.876356  -1.52979 -0.994844  -0.10142	3.04	10
-0.906606  -1.49519  -0.996673 -0.0815043	3.06	10
-0.936164   -1.4606  -0.998104 -0.0615559	3.08	10
-0.965108  -1.43386  -0.999135 -0.0415829	3.1	9
-0.993518  -1.40712  -0.999767 -0.0215932	3.12	10
-1.02139 -1.38037   -0.999999 -0.00159493	3.14	10
-1.04873 -1.35363 -0.999831  0.018404	3.16	10
-1.07546 -1.31904 -0.999263 0.0383956	3.18	9
