State,  Time, Number_of _Trial
0 0 0 0	0	0
  -5e-006 -0.000487 0 0	0.02	7
0.000216  0.02257 0 0	0.04	7
0.000506 0.006387 0 0	0.06	10
 0.000472 -0.009796 0 0	0.08	15
  0.00035 -0.002435 0 0	0.1	14
 0.000296 -0.002922 0 0	0.12	14
0.000468 0.020135 0 0	0.14	14
0.000709 0.003952 0 0	0.16	14
 0.000705 -0.004383 0 0	0.18	20
0.000769 0.010826 0 0	0.2	20
0.000902 0.002491 0 0	0.22	19
0.001025 0.009852 0 0	0.24	16
0.001296 0.017213 0 0	0.26	15
   0.0014 -0.006818 0 0	0.28	19
0.001337 0.000543 0 0	0.3	19
 0.001265 -0.007792 0 0	0.32	15
 0.00134 0.015265 0 0	0.34	15
 0.00164 0.014778 0 0	0.36	13
 0.001695 -0.009253 0 0	0.38	14
 0.001584 -0.001892 0 0	0.4	14
 0.001541 -0.002379 0 0	0.42	19
0.001646  0.01283 0 0	0.44	17
0.001819 0.004495 0 0	0.46	10
0.001983 0.011856 0 0	0.48	16
  0.00198 -0.012175 0 0	0.5	15
0.001889 0.003034 0 0	0.52	15
0.002023 0.010395 0 0	0.54	15
0.002148  0.00206 0 0	0.56	16
 0.002124 -0.004454 0 0	0.58	10
0.002048 -0.00312 0 0	0.6	5
  0.00192 -0.009634 0 0	0.62	8
0.001741  -0.0083 0 0	0.64	9
0.001824 0.016578 0 0	0.66	10
0.002012 0.002216 0 0	0.68	14
 0.001991 -0.004298 0 0	0.7	16
 0.001918 -0.002964 0 0	0.72	15
0.001872 -0.00163 0 0	0.74	13
0.001931 0.007552 0 0	0.76	15
0.001938 -0.00681 0 0	0.78	18
0.001894 0.002372 0 0	0.8	14
0.002112 0.019402 0 0	0.82	12
 0.002199 -0.010656 0 0	0.84	15
0.002156 0.006374 0 0	0.86	17
0.002218 -0.00014 0 0	0.88	15
0.002386  0.01689 0 0	0.9	13
0.002502 -0.00532 0 0	0.92	17
0.002487 0.003862 0 0	0.94	14
0.002578 0.005196 0 0	0.96	18
 0.002617 -0.001318 0 0	0.98	11
0.002682 0.007864 0 0	1	14
0.002774  0.00135 1 0	1.02	14
0.00320703   0.041924 1 0	1.04	6
0.00437301    0.07465 1 0	1.06	6
0.00627202   0.115224 1 0	1.08	5
