State,  Time, Number_of _Trial
0 0 0 0	0	0
        0 -3.8e-005 0 0	0.02	7
0.000156  0.01562 0 0	0.04	7
0.000154 -0.01581 0 0	0.06	7
-8.4e-005    -0.008 0 0	0.08	16
-8.7e-005  0.007658 0 0	0.1	12
6.6e-005  0.00762 0 0	0.12	18
  0.00014 -0.000266 0 0	0.14	21
-2.3e-005    -0.016 0 0	0.16	23
-2.9e-005  0.015354 0 0	0.18	19
-3.6e-005 -0.016076 0 0	0.2	21
-0.000279 -0.008266 0 0	0.22	18
-0.000445 -0.008304 0 0	0.24	18
-0.000376  0.015202 0 0	0.26	15
-0.000151  0.007316 0 0	0.28	18
 -5e-006 0.007278 0 0	0.3	17
-1.7e-005 -0.008456 0 0	0.32	21
-0.000108 -0.000646 0 0	0.34	13
3.6e-005 0.015012 0 0	0.36	18
  0.0001 -0.00857 0 0	0.38	19
  7e-006 -0.00076 0 0	0.4	22
-8.7e-005 -0.008646 0 0	0.42	17
-2.5e-005   0.01486 0 0	0.44	22
0.000272 0.014822 0 0	0.46	16
0.000333 -0.00876 0 0	0.48	15
0.000393 0.014746 0 0	0.5	15
 0.000374 -0.016684 0 0	0.52	16
 0.000197 -0.001026 0 0	0.54	20
 9.8e-005 -0.008912 0 0	0.56	22
  -2e-006 -0.001102 0 0	0.58	13
-2.4e-005  -0.00114 0 0	0.6	15
-2.9e-005  0.000595 0 0	0.62	14
      0 0.00233 0 0	0.64	7
6.4e-005 0.004065 0 0	0.66	11
0.000241 0.013648 0 0	0.68	16
 0.000374 -0.000313 0 0	0.7	12
 0.000307 -0.006426 0 0	0.72	17
0.000353 0.011005 0 0	0.74	18
 0.000433 -0.002956 0 0	0.76	14
 0.00047 0.006627 0 0	0.78	24
 0.000384 -0.015182 0 0	0.8	22
 0.000176 -0.005599 0 0	0.82	15
 0.00016 0.003984 0 0	0.84	19
   0.0001 -0.009977 0 0	0.86	18
-8.2e-005 -0.008242 0 0	0.88	20
  6e-006 0.017037 0 0	0.9	17
0.000286 0.010924 0 0	0.92	13
 0.000286 -0.010885 0 0	0.94	13
0.000321 0.014394 0 0	0.96	13
0.000626 0.016129 0 0	0.98	18
0.000809 0.002168 0 0	1	11
0.000948012    0.011751 1 0	1.02	12
0.00159299   0.052726 1 0	1.04	5
  0.0029 0.078005 1 0	1.06	5
0.00479102   0.111132 1 0	1.08	5
0.00726599   0.136411 1 0	1.1	6
0.010169 0.153842 1 0	1.12	7
0.013656 0.194817 1 0	1.14	4
0.017805 0.220096 1 0	1.16	5
0.022538 0.253223 1 0	1.18	5
0.028012 0.294198 1 0	1.2	4
 0.03407 0.311629 1 0	1.22	6
0.040555 0.336908 1 0	1.24	6
0.047546 0.362187 1 0	1.26	6
0.055043 0.387466 1 0	1.28	6
0.063124 0.420593 1 0	1.3	5
0.071789 0.445872 1 0	1.32	6
0.080959 0.471151 1 0	1.34	6
0.090713 0.504278 1 0	1.36	5
0.101051 0.529557 1 0	1.38	6
0.111973 0.562684 1 0	1.4	5
0.123479 0.587963 1 0	1.42	6
0.135491 0.613242 1 0	1.44	6
0.148009 0.638521 1 0	1.46	6
0.161111 0.671648 1 0	1.48	5
0.174875 0.704775 1 0	1.5	5
0.189145 0.722206 1 0	1.52	7
 0.20392 0.755333 1 0	1.54	5
0.219358  0.78846 1 0	1.56	5
 0.23538 0.813739 1 0	1.58	6
0.251986 0.846866 1 0	1.6	5
0.269237 0.878213 1 0	1.62	6
0.287193 0.917408 1 0	1.64	6
0.305855 0.948755 1 0	1.66	6
0.325144 0.980102 1 0	1.68	6
0.345059  1.01145 1 0	1.7	6
0.36568 1.05064 1 0	1.72	5
0.387006  1.08199 1 0	1.74	6
0.408959  1.11334 1 0	1.76	6
0.431696  1.16038 1 0	1.78	4
0.455139  1.18388 1 0	1.8	6
0.479209  1.22308 1 0	1.82	5
0.503984  1.25442 1 0	1.84	6
0.529386  1.28577 1 0	1.86	6
0.555022  1.27788 1 0	1.88	6
0.580265  1.24644 1 0	1.9	6
0.605115  1.23855 1 0	1.92	7
0.629572  1.20711 1 0	1.94	6
 0.6534 1.17567 1 0	1.96	6
0.676599  1.14424 1 0	1.98	6
0.699405  1.13634 1 0	2	7
0.721896  1.11275 1 0	2.02	5
0.743994  1.09701 1 0	2.04	5
0.765777  1.08127 1 0	2.06	5
0.787167  1.05768 1 0	2.08	6
0.808242  1.04979 1 0	2.1	4
0.829159   1.0419 1 0	2.12	4
0.849918    1.034 1 0	2.14	4
0.870441  1.01826 1 0	2.16	5
0.890727  1.01037 1 0	2.18	6
 0.91062 0.978932 1 0	2.2	6
 0.93012 0.971039 1 0	2.22	6
0.949305  0.94745 1 0	2.24	4
0.968097 0.931709 1 0	2.26	6
0.986495  0.90812 1 0	2.28	5
 1.00458 0.900227 1 0	2.3	7
 1.02235 0.876638 1 0	2.32	5
 1.03972 0.860897 1 0	2.34	6
 1.05678 0.845156 1 0	2.36	6
 1.07345 0.821567 1 0	2.38	5
 1.08972 0.805826 1 0	2.4	6
 1.10561 0.782237 1 0	2.42	5
 1.12109 0.766496 1 0	2.44	6
 1.13611 0.735059 1 0	2.46	4
  1.1505 0.703622 1 0	2.48	7
 1.16425 0.672185 1 0	2.5	6
 1.17746 0.648596 1 0	2.52	7
 1.19012 0.617159 1 0	2.54	7
1.20223 0.59357 1 0	2.56	7
 1.21394 0.577829 1 0	2.58	8
 1.22534 0.562088 1 0	2.6	5
  1.2363 0.534082 1 0	2.62	5
 1.24662 0.498228 1 0	2.64	5
 1.25646 0.485918 1 0	2.66	6
1.26598 0.46576 1 0	2.68	6
  1.2751 0.445602 1 0	2.7	6
 1.28381 0.425444 1 0	2.72	6
 1.29203 0.397438 1 0	2.74	5
1.29978 0.37728 1 0	2.76	6
 1.30713 0.357122 1 0	2.78	6
 1.31399 0.329116 1 0	2.8	5
 1.32037 0.308958 1 0	2.82	6
1.32635  0.2888 1 0	2.84	6
 1.33192 0.268642 1 0	2.86	6
 1.33701 0.240636 1 0	2.88	5
 1.34162 0.220478 1 0	2.9	6
 1.34575 0.192472 1 0	2.92	5
 1.34925 0.156618 1 0	2.94	5
 1.35225 0.144308 1 0	2.96	6
1.35494 0.12415 1 0	2.98	6
 1.35722 0.103992 1 0	3	6
 1.35894 0.068138 1 0	3.02	4
 1.36002 0.040132 1 0	3.04	4
 1.36063 0.019974 1 0	3.06	6
  1.36082 -0.000184 1 0	3.08	6
 1.36054 -0.02819 1 0	3.1	5
  1.35969 -0.056196 1 0	3.12	5
  1.35837 -0.076354 1 0	3.14	6
  1.35664 -0.096512 1 0	3.16	6
  1.35435 -0.132366 1 0	3.18	4
   1.3515 -0.152524 1 0	3.2	5
  1.34825 -0.172682 1 0	3.22	6
  1.34452 -0.200688 1 0	3.24	5
   1.3403 -0.220846 1 0	3.26	6
  1.33561 -0.248852 1 0	3.28	5
  1.33035 -0.276858 1 0	3.3	5
  1.32461 -0.297016 1 0	3.32	6
  1.31847 -0.317174 1 0	3.34	6
 1.31184 -0.34518 1 0	3.36	5
  1.30474 -0.365338 1 0	3.38	6
  1.29715 -0.393344 1 0	3.4	5
   1.289 -0.42135 1 0	3.42	5
  1.28038 -0.441508 1 0	3.44	6
  1.27142 -0.453818 1 0	3.46	7
  1.26214 -0.473976 1 0	3.48	6
  1.25246 -0.494134 1 0	3.5	6
  1.24238 -0.514292 1 0	3.52	6
 1.23189 -0.53445 1 0	3.54	6
  1.22084 -0.570304 1 0	3.56	8
 1.20916 -0.59831 1 0	3.58	7
  1.19762 -0.555684 1 0	3.6	10
  1.18684 -0.522476 1 0	3.62	11
  1.17656 -0.504964 1 0	3.64	5
 1.16695 -0.45606 1 0	3.66	7
1.15808 -0.4307 1 0	3.68	10
 1.14972 -0.40534 1 0	3.7	10
  1.14171 -0.395676 1 0	3.72	8
  1.13413 -0.362468 1 0	3.74	15
  1.12706 -0.344956 1 0	3.76	9
  1.12041 -0.319596 1 0	3.78	12
   1.1142 -0.302084 1 0	3.8	12
 1.10825 -0.29242 1 0	3.82	11
  1.10242 -0.290604 1 0	3.84	11
  1.09678 -0.273092 1 0	3.86	13
  1.09142 -0.263428 1 0	3.88	12
  1.08633 -0.245916 1 0	3.9	11
  1.08166 -0.220556 1 0	3.92	17
  1.07719 -0.226588 1 0	3.94	15
 1.07299 -0.19338 1 0	3.96	14
  1.06906 -0.199412 1 0	3.98	16
  1.06533 -0.174052 1 0	4	17
  1.06179 -0.180084 1 0	4.02	17
  1.05836 -0.162572 1 0	4.04	11
 1.05528 -0.14506 1 0	4.06	13
  1.05256 -0.127548 1 0	4.08	13
 1.04995 -0.13358 1 0	4.1	14
  1.04737 -0.123916 1 0	4.12	9
  1.04507 -0.106404 1 0	4.14	16
  1.04296 -0.104588 1 0	4.16	19
  1.04096 -0.094924 1 0	4.18	17
    1.039 -0.100956 1 0	4.2	13
  1.03716 -0.083444 1 0	4.22	18
  1.03543 -0.089476 1 0	4.24	13
  1.03374 -0.079812 1 0	4.26	11
  1.03224 -0.070148 1 0	4.28	12
  1.03085 -0.068332 1 0	4.3	13
  1.02951 -0.066516 1 0	4.32	14
1.02819 -0.0647 1 0	4.34	10
  1.02692 -0.062884 1 0	4.36	17
   1.0256 -0.068916 1 0	4.38	12
  1.02416 -0.074948 1 0	4.4	16
  1.02292 -0.049588 1 0	4.42	15
 1.02186 -0.05562 1 0	4.44	11
  1.02085 -0.045956 1 0	4.46	12
  1.01979 -0.059836 1 0	4.48	15
