State,  Time, Number_of _Trial
0 0  1 -0	0	0
0.000467002   0.0467043     0.9998 -0.0199987	0.02	9
0.00186813  0.0934087     0.9992 -0.0399893	0.04	9
0.00379455    0.09926  0.998201 -0.059964	0.06	8
0.00599474   0.120807   0.996802 -0.0799147	0.08	10
0.0087052  0.150203   0.995004 -0.0998334	0.1	9
0.0120037  0.179598  0.992809 -0.119712	0.12	9
0.015889 0.208994  0.990216 -0.139543	0.14	9
0.0202842  0.230542  0.987227 -0.159318	0.16	10
0.0251887  0.259937 0.983844 -0.17903	0.18	9
0.0306026  0.281485  0.980067 -0.198669	0.2	10
0.0365264   0.31088 0.975897 -0.21823	0.22	9
0.043038 0.340276  0.971338 -0.237703	0.24	9
0.050137 0.369672   0.96639 -0.257081	0.26	9
0.0577455   0.39122  0.961055 -0.276356	0.28	10
0.0658635  0.420616 0.955337 -0.29552	0.3	9
0.0745695  0.450011  0.949235 -0.314567	0.32	9
0.0837857  0.471559  0.942755 -0.333487	0.34	10
0.0935108  0.500955  0.935897 -0.352274	0.36	9
0.103746 0.522503  0.928665 -0.370921	0.38	10
 0.11449 0.551899  0.921061 -0.389418	0.4	9
0.125743 0.573447  0.913089 -0.407761	0.42	10
0.137506 0.602842 0.904752 -0.42594	0.44	9
0.149777  0.62439  0.896052 -0.443948	0.46	10
0.162559 0.653786  0.886995 -0.461779	0.48	9
0.175928 0.683181  0.877582 -0.479426	0.5	9
0.189886 0.712577 0.867819 -0.49688	0.52	9
0.204432 0.741972  0.857709 -0.514136	0.54	9
0.219565 0.771368  0.847255 -0.531186	0.56	9
0.235287 0.800763  0.836463 -0.548024	0.58	9
0.251596 0.830159  0.825336 -0.564642	0.6	9
0.268492 0.859554  0.813878 -0.581035	0.62	9
0.285978  0.88895  0.802096 -0.597195	0.64	9
0.303501 0.863409  0.789992 -0.613117	0.66	9
0.320514 0.837869  0.777573 -0.628793	0.68	9
0.336937  0.80448  0.764842 -0.644218	0.7	10
0.352772  0.77894  0.751806 -0.659385	0.72	9
0.368096   0.7534  0.738469 -0.674288	0.74	9
0.382673 0.704316  0.724836 -0.688921	0.76	8
0.396504 0.678776  0.710914 -0.703279	0.78	9
0.409745 0.645387  0.696707 -0.717356	0.8	10
0.422397 0.619846  0.682221 -0.731146	0.82	9
0.434539 0.594306  0.667463 -0.744643	0.84	9
 0.44617 0.568766  0.652438 -0.757842	0.86	9
0.457289 0.543225  0.637151 -0.770739	0.88	9
0.467741 0.501989   0.62161 -0.783327	0.9	9
0.477368 0.460753   0.60582 -0.795601	0.92	9
0.486171 0.419516  0.589788 -0.807558	0.94	9
0.494149  0.37828   0.57352 -0.819191	0.96	9
 0.50146 0.352739  0.557023 -0.830497	0.98	8
0.508103 0.311502  0.540303 -0.841471	1	9
 0.51392 0.270266  0.523366 -0.852108	1.02	9
0.518914  0.22903  0.506221 -0.862404	1.04	10
0.523028 0.182444  0.488872 -0.872355	1.06	9
0.526212 0.135857  0.471329 -0.881958	1.08	9
 0.528463 0.0892718  0.453597 -0.891207	1.1	9
 0.529782 0.0426857 0.435683  -0.9001	1.12	9
 0.530327 0.0117957  0.417595 -0.908633	1.14	7
  0.530176 -0.0269419   0.39934 -0.916803	1.16	10
  0.529171 -0.0735278  0.380925 -0.924606	1.18	9
 0.527235 -0.120114  0.362358 -0.932039	1.2	9
 0.524445 -0.158852  0.343646 -0.939099	1.22	10
 0.520803 -0.205438  0.324797 -0.945784	1.24	4
 0.516228 -0.252023 0.305817 -0.95209	1.26	5
 0.510879 -0.282913  0.286716 -0.958016	1.28	7
  0.50499 -0.305954  0.267499 -0.963558	1.3	8
 0.498641 -0.328996  0.248176 -0.968715	1.32	8
  0.49183 -0.352037  0.228753 -0.973484	1.34	8
 0.484481 -0.382927  0.209239 -0.977864	1.36	7
 0.476593 -0.405969  0.189642 -0.981853	1.38	8
 0.468243 -0.429012 0.169968 -0.98545	1.4	8
 0.459197 -0.475598  0.150226 -0.988652	1.42	9
 0.449219 -0.522183  0.130424 -0.991458	1.44	9
  0.43831 -0.568769  0.110571 -0.993868	1.46	9
 0.426703 -0.591811 0.0906724 -0.995881	1.48	8
 0.414401 -0.638397  0.070738 -0.997495	1.5	9
 0.401167 -0.684983 0.0507753  -0.99871	1.52	9
 0.387002 -0.731569 0.0307923 -0.999526	1.54	9
 0.371984 -0.770307  0.010797 -0.999942	1.56	10
 0.356347 -0.793349 -0.00920263   -0.999958	1.58	8
  0.34025 -0.816391 -0.0291986  -0.999574	1.6	8
 0.323614 -0.847281 -0.0491829   -0.99879	1.62	7
 0.306439 -0.870322 -0.0691475  -0.997606	1.64	8
 0.288724 -0.901212 -0.0890844  -0.996024	1.66	7
 0.270469 -0.924254 -0.108986 -0.994043	1.68	8
 0.251676 -0.955144 -0.128843 -0.991665	1.7	7
 0.232263 -0.986034 -0.14865 -0.98889	1.72	7
0.212313 -1.00908 -0.168396 -0.985719	1.74	8
0.191665 -1.05566 -0.188076 -0.982155	1.76	9
0.170086 -1.10225  -0.20768 -0.978197	1.78	9
0.147575 -1.14883 -0.227201 -0.973848	1.8	9
0.124133 -1.19542 -0.246631 -0.969109	1.82	9
0.0999942  -1.21846 -0.265963 -0.963983	1.84	8
0.0753951   -1.2415 -0.285188 -0.958472	1.86	8
0.050256 -1.27239 -0.304299 -0.952577	1.88	7
0.0245776  -1.29543 -0.323288 -0.946301	1.9	8
-0.00156149    -1.31847 -0.342148 -0.939646	1.92	8
-0.0283187   -1.35721 -0.360872 -0.932615	1.94	6
-0.0558506   -1.39595 -0.379451 -0.925212	1.96	6
-0.0841567   -1.43469 -0.397878 -0.917438	1.98	1
-0.11316 -1.46558 -0.416146 -0.909298	2	7
-0.142937  -1.51216 -0.434247 -0.900794	2.02	9
-0.173646  -1.55875 -0.452175 -0.891929	2.04	9
-0.205203  -1.59691 -0.469922 -0.882708	2.06	9
-0.237287  -1.61152 -0.487481 -0.873134	2.08	9
-0.269271   -1.5869 -0.504845  -0.86321	2.1	10
-0.300606  -1.54658 -0.522007 -0.852941	2.12	8
-0.331291  -1.52195  -0.53896 -0.842331	2.14	10
-0.361563  -1.50517 -0.555698 -0.831384	2.16	9
-0.391263  -1.46485 -0.572213 -0.820105	2.18	8
-0.420157  -1.42453   -0.5885 -0.808497	2.2	8
-0.448244  -1.38421 -0.604551 -0.796566	2.22	8
-0.475525  -1.34389  -0.62036 -0.784317	2.24	8
-0.502157  -1.31927 -0.635922 -0.771754	2.26	6
-0.528375  -1.30249 -0.651229 -0.758882	2.28	5
 -0.5541 -1.27002 -0.666275 -0.745706	2.3	7
-0.579097   -1.2297 -0.681055 -0.732232	2.32	8
-0.603523  -1.21292 -0.695562 -0.718466	2.34	9
-0.627613  -1.19614 -0.709791 -0.704412	2.36	9
-0.651212  -1.16367 -0.723737 -0.690076	2.38	9
-0.674161   -1.1312 -0.737393 -0.675464	2.4	9
-0.696539  -1.10657 -0.750754 -0.660582	2.42	10
-0.718345   -1.0741 -0.763814 -0.645436	2.44	9
-0.739424  -1.03378 -0.776569 -0.630032	2.46	10
-0.759697 -0.993457 -0.789014 -0.614376	2.48	10
-0.779242 -0.960984 -0.801143 -0.598473	2.5	9
-0.798137 -0.928511 -0.812951 -0.582332	2.52	10
-0.816382 -0.896038 -0.824434 -0.565958	2.54	10
  -0.8339 -0.855717 -0.835588 -0.549357	2.56	9
-0.850611 -0.815396 -0.846407 -0.532536	2.58	9
-0.866595 -0.782924 -0.856888 -0.515503	2.6	10
 -0.88185 -0.742603 -0.867026 -0.498263	2.62	9
-0.896377  -0.71013 -0.876817 -0.480824	2.64	10
-0.910412 -0.693353 -0.886258 -0.463193	2.66	8
 -0.92411 -0.676576 -0.895343 -0.445376	2.68	8
-0.937395 -0.651952 -0.904071 -0.427382	2.7	7
-0.950032 -0.611631 -0.912438 -0.409216	2.72	9
-0.962097 -0.594854 -0.920439 -0.390887	2.74	8
-0.973826 -0.578077 -0.928072 -0.372401	2.76	8
-0.984984 -0.537756 -0.935334 -0.353766	2.78	9
-0.995572 -0.520979 -0.942222  -0.33499	2.8	8
 -1.00582 -0.504202 -0.948733  -0.31608	2.82	8
 -1.01558 -0.471729 -0.954864 -0.297043	2.84	10
 -1.02461 -0.431408 -0.960614 -0.277888	2.86	9
 -1.03284 -0.391087 -0.965979 -0.258621	2.88	9
-1.04049 -0.37431 -0.970958 -0.239251	2.9	8
 -1.04781 -0.357534 -0.975548 -0.219786	2.92	8
 -1.05456 -0.317213 -0.979748 -0.200232	2.94	9
  -1.0605 -0.276892 -0.983557 -0.180598	2.96	9
 -1.06587 -0.260115 -0.986972 -0.160892	2.98	8
 -1.07091 -0.243338 -0.989992 -0.141122	3	8
 -1.07553 -0.218713 -0.992616 -0.121295	3.02	7
  -1.0795 -0.178392 -0.994844  -0.10142	3.04	9
 -1.08277 -0.148651  -0.996673 -0.0815043	3.06	10
 -1.08536 -0.111063  -0.998104 -0.0615559	3.08	9
  -1.08721 -0.0734739  -0.999135 -0.0415829	3.1	9
   -1.0883 -0.0358852  -0.999767 -0.0215932	3.12	9
  -1.08864 0.00170407   -0.999999 -0.00159493	3.14	9
-1.08831 0.031445 -0.999831  0.018404	3.16	10
 -1.08731 0.0690336 -0.999263 0.0383956	3.18	9
-1.08555 0.106623 -0.998295 0.0583718	3.2	9
-1.08328 0.120668 -0.996928 0.0783247	3.22	8
-1.08073 0.134712 -0.995162 0.0982462	3.24	8
-1.07789 0.148757 -0.992998  0.118128	3.26	8
-1.07454 0.186346 -0.990437  0.137963	3.28	4
-1.07059 0.208239 -0.98748 0.157743	3.3	7
-1.06629 0.222284 -0.984128   0.17746	3.32	8
-1.06162 0.244177 -0.980382  0.197106	3.34	7
-1.05652  0.26607 -0.976244  0.216673	3.36	7
-1.05082 0.303659 -0.971716  0.236153	3.38	4
-1.04445   0.3334 -0.966799  0.255539	3.4	6
-1.03749  0.36314 -0.961495  0.274822	3.42	6
-1.02985 0.400729 -0.955807  0.293996	3.44	9
-1.02162 0.422622 -0.949736  0.313052	3.46	7
-1.01279 0.460211 -0.943285  0.331983	3.48	9
-1.00321   0.4978 -0.936458  0.350781	3.5	9
-0.993111  0.511845 -0.929255  0.369438	3.52	8
-0.982577  0.541585 -0.921681  0.387948	3.54	10
-0.971762  0.539934 -0.913738  0.406303	3.56	8
-0.960745  0.561828 -0.90543 0.424496	3.58	7
-0.949447  0.568024 -0.89676 0.442518	3.6	7
-0.938025   0.57422 -0.887731  0.460363	3.62	8
-0.926478  0.580418 -0.878346  0.478025	3.64	8
-0.914494  0.618007 -0.868611  0.495495	3.66	9
-0.902229  0.608508 -0.858528  0.512767	3.68	8
-0.889762  0.638249 -0.848101  0.529834	3.7	9
-0.877092   0.62875 -0.837336  0.546689	3.72	8
-0.864219  0.658491 -0.826235  0.563325	3.74	6
-0.850987  0.664688 -0.814804  0.579736	3.76	6
-0.837632  0.670885 -0.803048  0.595915	3.78	7
-0.824073   0.68493 -0.790969  0.611856	3.8	7
-0.810078  0.714671 -0.778575  0.627552	3.82	9
-0.795879  0.705171 -0.765869  0.642996	3.84	7
-0.781478  0.734912 -0.752857  0.658184	3.86	9
-0.76664 0.748957 -0.739544  0.673109	3.88	9
-0.751834   0.73161 -0.725934  0.687764	3.9	8
-0.736826  0.769199 -0.712035  0.702144	3.92	9
-0.721616  0.751852 -0.697851  0.716243	3.94	8
-0.706281  0.781593 -0.683387  0.730056	3.96	6
-0.690509  0.795638 -0.66865 0.743577	3.98	6
-0.674691  0.786138 -0.653646    0.7568	4	8
-0.658671  0.815879 -0.63838 0.769721	4.02	7
-0.642213  0.829924 -0.622859  0.782334	4.04	5
-0.625441  0.847276 -0.607089  0.794634	4.06	4
-0.608557  0.841084 -0.591076  0.806616	4.08	7
-0.591561  0.858436 -0.574826  0.818275	4.1	8
-0.574376  0.860092 -0.558347  0.829607	4.12	9
  -0.557 0.877445 -0.541644  0.840608	4.14	9
-0.539199  0.902645 -0.524725  0.851272	4.16	9
-0.521287  0.888605 -0.507596  0.861595	4.18	9
-0.50342 0.898109 -0.490263  0.871574	4.2	9
-0.485362  0.907614 -0.472735  0.881205	4.22	9
-0.467115  0.917117 -0.455018  0.890482	4.24	9
-0.448756  0.918774 -0.437118  0.899404	4.26	9
-0.43005 0.951822 -0.419044  0.907966	4.28	8
-0.411154  0.937783 -0.400802  0.916165	4.3	9
-0.392382  0.939439  -0.3824 0.923997	4.32	9
-0.373498  0.948944 -0.363845   0.93146	4.34	9
-0.354424  0.958448 -0.345144   0.93855	4.36	9
-0.335238  0.960104 -0.326305  0.945264	4.38	5
-0.315941  0.969609 -0.307336  0.951601	4.4	9
-0.296532  0.971265 -0.288244  0.957557	4.42	9
-0.277011  0.980769 -0.269036   0.96313	4.44	9
-0.257144   1.00597 -0.249721  0.968318	4.46	8
-0.237243  0.984082 -0.230306  0.973118	4.48	9
-0.217231   1.01713 -0.210799  0.977529	4.5	8
-0.197108  0.995243 -0.191208   0.98155	4.52	9
-0.177108   1.00475 -0.17154 0.985177	4.54	10
-0.157074  0.998556 -0.151803  0.988411	4.56	9
-0.137087   1.00021 -0.132006  0.991249	4.58	9
-0.117066   1.00187 -0.112156  0.993691	4.6	9
-0.097012   1.00352 -0.092261  0.995735	4.62	9
-0.0769252    1.00518 -0.0723292   0.997381	4.64	9
-0.0566485    1.02253 -0.0523685   0.998628	4.66	7
-0.0361028    1.03204 -0.0323868   0.999475	4.68	8
-0.0155242    1.02585 -0.0123922   0.999923	4.7	7
0.0049304   1.01965 0.0076074  0.999971	4.72	7
0.0254189   1.02916 0.0276039  0.999619	4.74	8
0.0457045  0.999421 0.0475895  0.998867	4.76	5
0.0657099   1.00108 0.0675559  0.997715	4.78	5
0.0859054   1.01843 0.0874954  0.996165	4.8	7
0.106291  1.02009   0.1074 0.994216	4.82	8
0.126473 0.998198 0.127261 0.991869	4.84	9
0.146375 0.992007 0.147072 0.989126	4.86	9
0.16631 1.00151 0.166824 0.985987	4.88	7
0.186278 0.995319 0.186509 0.982453	4.9	10
0.206279  1.00482 0.206119 0.978527	4.92	8
0.226078 0.975088 0.225647 0.974209	4.94	9
0.245518 0.968897 0.245085 0.969502	4.96	9
 0.26507 0.986249 0.264425 0.964406	4.98	8
0.284498 0.956513 0.283659 0.958925	5	9
0.303644  0.95817 0.302779 0.953061	5.02	9
0.322824 0.959826 0.321778 0.946815	5.04	10
0.341754 0.933118 0.340649 0.940191	5.06	9
0.360384 0.929953 0.359383  0.93319	5.08	9
0.378952 0.926789 0.377974 0.925816	5.1	9
0.397614 0.939321 0.396414 0.918072	5.12	8
0.416055 0.904765 0.414695 0.909961	5.14	9
0.434119   0.9016  0.43281 0.901485	5.16	9
0.452275 0.914132 0.450751 0.892649	5.18	8
0.470212 0.879577 0.468513 0.883457	5.2	9
0.487693 0.868564 0.486087  0.87391	5.22	9
0.505033   0.8654 0.503467 0.864014	5.24	9
0.522231 0.854388 0.520646 0.853773	5.26	9
0.539209 0.843376 0.537616  0.84319	5.28	9
0.555966 0.832364 0.554371  0.83227	5.3	9
0.572503 0.821352 0.570904 0.821017	5.32	9
 0.58882 0.810339 0.587209 0.809435	5.34	9
0.604917 0.799327 0.60328 0.79753	5.36	9
0.621028 0.811859 0.619108 0.785306	5.38	8
 0.63692 0.777302  0.63469 0.772767	5.4	9
0.652356  0.76629 0.650017  0.75992	5.42	10
0.667493 0.747429 0.665084 0.746768	5.44	9
0.682489 0.752113 0.679886 0.733318	5.46	7
0.697185 0.717557 0.694415 0.719575	5.48	9
0.711662 0.730088 0.708667 0.705543	5.5	8
0.726075 0.711228 0.722635  0.69123	5.52	7
0.740189 0.700216 0.736314  0.67664	5.54	8
0.754084 0.689203 0.749699 0.661779	5.56	8
0.767679 0.670343 0.762783 0.646654	5.58	7
0.780898 0.651483 0.775563  0.63127	5.6	7
0.793583 0.616927 0.788033 0.615634	5.62	4
0.805811 0.605915 0.800187 0.599751	5.64	7
0.817662 0.579206 0.812021 0.583628	5.66	9
0.829057 0.560346  0.82353 0.567272	5.68	9
0.840075 0.541486  0.83471 0.550689	5.7	9
0.850795 0.530474 0.845556 0.533886	5.72	9
0.861295 0.519462 0.856064 0.516869	5.74	10
0.871575  0.50845  0.86623 0.499646	5.76	11
0.881398 0.473893 0.876049 0.482222	5.78	9
0.890844 0.470729 0.885517 0.464606	5.8	10
0.899992 0.444021 0.894632 0.446804	5.82	9
0.908762 0.433009 0.903388 0.428823	5.84	10
0.917234 0.414149 0.911784 0.410671	5.86	10
0.925249 0.387441 0.919814 0.392355	5.88	9
0.932888 0.376428 0.927477 0.373881	5.9	10
0.940384 0.373264 0.934768 0.355258	5.92	12
0.947504 0.338708 0.941686 0.336493	5.94	9
 0.95409 0.319848 0.948227 0.317593	5.96	10
0.960455 0.316684 0.954389 0.298566	5.98	12
0.966522 0.289976 0.960169  0.27942	6	10
0.971976  0.25542 0.965565 0.260162	6.02	13
0.977053 0.252256 0.970575   0.2408	6.04	11
0.981709 0.213416 0.975196 0.221342	6.06	9
0.985746 0.190271 0.979428 0.201795	6.08	9
0.989477 0.182822 0.983268 0.182167	6.1	10
0.992823  0.15183 0.986714 0.162467	6.12	9
0.995864 0.152229 0.989766 0.142701	6.14	7
0.998756 0.136933 0.992422 0.122879	6.16	8
 1.00134 0.121636 0.994681 0.103007	6.18	8
  1.00346 0.0906433  0.996542 0.0830943	6.2	10
  1.00497 0.0596502  0.998004 0.0631482	6.22	10
  1.00585 0.0286579  0.999067 0.0431769	6.24	9
  1.00627 0.0133612  0.999731 0.0231882	6.25999	9
    1.00639 -0.00193566   0.999995 0.00319034	6.27999	10
    1.00635 -0.00153685   0.999859 -0.0168088	6.29999	8
   1.00601 -0.0325293   0.999323 -0.0368013	6.31999	10
   1.00513 -0.0556741  0.998387 -0.056779	6.33999	10
   1.00386 -0.0709711   0.997052 -0.0767341	6.35999	11
  1.00213 -0.101963   0.995318 -0.0966584	6.37999	10
0.999941 -0.11726  0.993186 -0.116544	6.39999	10
 0.997285 -0.148253  0.990656 -0.136383	6.41999	9
0.994168 -0.16355  0.987731 -0.156168	6.43999	9
 0.990665 -0.186695  0.98441 -0.17589	6.45999	9
 0.986778 -0.201991  0.980695 -0.195541	6.47999	9
 0.982507 -0.225136  0.976589 -0.215115	6.49999	11
 0.978008 -0.224736  0.972091 -0.234602	6.51999	10
 0.973203 -0.255729  0.967205 -0.253996	6.53999	10
0.968092 -0.25533  0.961932 -0.273288	6.55999	11
 0.962597 -0.294171  0.956275 -0.292471	6.57999	9
 0.956639 -0.301619  0.950234 -0.311536	6.59999	10
 0.950454 -0.316916  0.943814 -0.330477	6.61999	11
 0.943884 -0.340061  0.937016 -0.349286	6.63999	10
 0.936694 -0.378902  0.929843 -0.367956	6.65999	10
 0.928964 -0.394199  0.922299 -0.386478	6.67999	9
 0.921083 -0.393799  0.914385 -0.404845	6.69999	11
 0.912897 -0.424791 0.906106 -0.42305	6.71999	11
 0.904248 -0.440088  0.897464 -0.441087	6.73999	10
 0.895294 -0.455385  0.888464 -0.458947	6.75999	10
 0.885955 -0.478529  0.879108 -0.476623	6.77999	11
 0.876231 -0.493826    0.8694 -0.494109	6.79999	10
  0.86628 -0.501275  0.859345 -0.511397	6.81999	9
 0.855866 -0.540115 0.848946 -0.52848	6.83999	12
 0.845067 -0.539716  0.838207 -0.545352	6.85999	10
  0.83412 -0.555013  0.827133 -0.562006	6.87999	9
 0.822788 -0.578158  0.815728 -0.578435	6.89999	10
 0.810993 -0.601303  0.803997 -0.594633	6.91999	11
 0.798893 -0.608752  0.791945 -0.610593	6.93999	10
 0.786564 -0.624049  0.779575 -0.626309	6.95999	10
 0.774009 -0.631498  0.766894 -0.641774	6.97999	9
0.761069 -0.66249  0.753906 -0.656982	6.99999	11
 0.747666 -0.677787  0.740617 -0.671928	7.01999	11
 0.734037 -0.685236  0.727031 -0.686605	7.03999	10
 0.720237 -0.694749  0.713154 -0.701007	7.05999	9
  0.70609 -0.719958  0.698992 -0.715129	7.07999	10
 0.691518 -0.737319  0.684551 -0.728965	7.09999	11
 0.676755 -0.738984  0.669836 -0.742509	7.11999	9
 0.661802 -0.756346  0.654853 -0.755757	7.13999	10
 0.646501 -0.773707  0.639607 -0.768702	7.15999	10
 0.631011 -0.775371  0.624107 -0.781339	7.17999	9
 0.615329 -0.792732  0.608356 -0.793664	7.19999	9
 0.599301 -0.810093  0.592362 -0.805672	7.21999	10
 0.583004 -0.819606  0.576131 -0.817357	7.23999	10
0.566517 -0.82912   0.55967 -0.828716	7.25999	9
0.549761 -0.84648  0.542985 -0.839742	7.27999	10
 0.532737 -0.855993  0.526083 -0.850433	7.29999	10
 0.515522 -0.865506   0.50897 -0.860784	7.31999	10
 0.498196 -0.867171  0.491654 -0.870791	7.33999	9
 0.480679 -0.884532  0.474141 -0.880449	7.35999	10
 0.462971 -0.886197  0.456438 -0.889755	7.37999	9
 0.445074 -0.903558  0.438553 -0.898705	7.39999	10
 0.426907 -0.913071  0.420492 -0.907296	7.41999	10
  0.40855 -0.922584  0.402263 -0.915524	7.43999	10
 0.390004 -0.932097  0.383874 -0.923386	7.45999	10
0.371266 -0.94161   0.36533 -0.930878	7.47999	10
 0.352418 -0.943275  0.346641 -0.937998	7.49999	10
 0.333457 -0.952788  0.327813 -0.944743	7.51999	10
 0.314463 -0.946604  0.308854 -0.951109	7.53999	9
 0.295279 -0.971814  0.289771 -0.957096	7.55999	11
 0.275905 -0.965631 0.270573  -0.9627	7.57999	9
 0.256497 -0.975143  0.251266 -0.967918	7.59999	10
 0.236978 -0.976808  0.231859 -0.972749	7.61999	10
 0.217347 -0.986322  0.212359 -0.977192	7.63999	10
 0.197682 -0.980139  0.192774 -0.981243	7.65999	9
 0.177984 -0.989652  0.173112 -0.984902	7.67999	10
 0.158095 -0.999165   0.15338 -0.988167	7.69999	10
0.138095 -1.00083  0.133587 -0.991037	7.71999	10
0.118062  -1.0025 0.113741 -0.99351	7.73999	10
0.0979958  -1.00416 0.0938498 -0.995586	7.75999	10
0.0779746 -0.997977 0.0739206 -0.997264	7.77999	9
0.0579199  -1.00749 0.0539619 -0.998543	7.79999	10
0.0377536  -1.00916 0.0339816 -0.999422	7.81999	10
0.0176327  -1.00297 0.0139877 -0.999902	7.83999	9
-0.00244379    -1.00464 -0.00601179   -0.999982	7.85999	10
-0.0225529    -1.0063 -0.0260089  -0.999662	7.87999	10
-0.0426176   -1.00012 -0.0459956  -0.998942	7.89999	9
-0.0626368   -1.00178 -0.0659638  -0.997822	7.91999	9
-0.0826107  -0.995601 -0.0859057  -0.996303	7.93999	9
-0.102539 -0.997266 -0.105813 -0.994386	7.95999	9
